IBVC|BNC|Banco Nacional de Credito CA Banco Unive
IBVC|BPV|Banco Provincial SA-Banco Universal
IBVC|BBC|Banesco Banco Universal CA
IBVC|EDC|CA La Electricidad de Caracas
IBVC|TDV/D|Cia Anonima Nacional Telefonos de Venezu
IBVC|CRM/A|Corimon CA
IBVC|DOM|Dominguez & Cia SA
IBVC|ENV|Envases Venezolanos
IBVC|FVI/B|Fondo de Valores Inmobiliarios SACA
IBVC|HLB|HL Boulton & Co
IBVC|MPA|Manufacturas de Papel CA
IBVC|MVZ/A|Mercantil Servicios Financieros CA
IBVC|MVZ/B|Mercantil Servicios Financieros CA
IBVC|SVS|Siderurgica Venezolana Sivensa SACA
