IGBVL|ALICORC1|Alicorp SA
IGBVL|ALT|Alturas Minerals Corp
IGBVL|AUSTRAC1|Austral Group SAA
IGBVL|CONTINC1|BBVA Banco Continental SA
IGBVL|DNT|Candente Copper Corp
IGBVL|CASAGRC1|Casa Grande SAA
IGBVL|CEMLIMC1|Cementos Lima SAA
IGBVL|CPACASC1|Cementos Pacasmayo SAA
IGBVL|BVN|Cia de Minas Buenaventura SA
IGBVL|ATACOBC1|Cia Minera Atacocha SA
IGBVL|MILPOC1|Cia Minera Milpo SAA
IGBVL|CORAREI1|Corp Aceros Arequipa SA
IGBVL|BAP|Credicorp Ltd
IGBVL|EDEGELC1|Edegel SAA
IGBVL|POMALCC1|Empresa Agroindustrial Pomalca SAA
IGBVL|SIDERC1|Empresa Siderurgica del Peru SAA
IGBVL|FERREYC1|Ferreyros SA
IGBVL|GRAMONC1|Grana y Montero SA
IGBVL|IFS|Intergroup Financial Services Corp
IGBVL|LUSURC1|Luz del Sur SAA
IGBVL|MPLE|Maple Energy PLC
IGBVL|MIRL|Minera IRL Ltd
IGBVL|MINSURI1|Minsur SA
IGBVL|PML|Panoro Minerals Ltd
IGBVL|RELAPAC1|Refineria La Pampilla SA Relapasa
IGBVL|RIO|Rio Alto Mining Ltd
IGBVL|RCZ|Rio Cristal Resources Corp
IGBVL|SCOTIAC1|Scotiabank Peru SA
IGBVL|CVERDEC1|Sociedad Minera Cerro Verde SAA
IGBVL|BROCALC1|Sociedad Minera el Brocal SA
IGBVL|SCCO|Southern Copper Corp
IGBVL|TELEFBC1|Telefonica del Peru SAA
IGBVL|VOLCAAC1|Volcan Cia Minera SAA
IGBVL|VOLCABC1|Volcan Cia Minera SAA
